Grupos,Controle_2
Sabao_2,153.97
Sabao_2,154.72
Sabao_2,155.80
Sabao_2,156.05
Sabao_2,155.27
Sabao_2,156.26
Sabao_2,156.88
Sabao_2,157.23
Sabao_2,156.90
Sabao_2,156.97
Sabao_2,156.76
Sabao_2,156.17
Sabao_2,154.77
Sabao_2,154.58
Sabao_2,155.05
Sabao_2,156.02
Sabao_2,156.12
Sabao_2,156.66
Sabao_2,156.59
Sabao_2,157.26
Sabao_2,157.23
Sabao_2,157.98
Sabao_2,158.36
Sabao_2,157.32
Sabao_2,156.41
Sabao_2,156.14
Sabao_2,155.95
Sabao_2,156.91
Sabao_2,156.38
Sabao_2,156.99
Sabao_2,157.29
Sabao_2,156.32
Sabao_2,156.91
Sabao_2,156.86
Sabao_2,157.04
Sabao_2,157.40
Sabao_2,156.38
Sabao_2,156.56
Sabao_2,156.58
Sabao_2,156.85
Sabao_2,157.13
Sabao_2,157.11
Sabao_2,157.08
Sabao_2,156.89
Sabao_2,156.05
Sabao_2,157.44
Sabao_2,157.39
Sabao_2,156.72
Sabao_2,157.15
Sabao_2,157.35
Sabao_2,156.14
Sabao_2,156.39
Sabao_2,155.75
Sabao_2,156.82
Sabao_2,156.30
Sabao_2,156.84
Sabao_2,157.12
Sabao_2,157.71
Sabao_2,157.76
Sabao_2,158.10
Sabao_2,157.05
Sabao_2,156.85
Sabao_2,155.70
Sabao_2,155.07
Sabao_2,155.45
Sabao_2,156.59
Sabao_2,156.30
Sabao_2,156.70
Sabao_2,156.84
Sabao_2,157.50
Sabao_2,157.63
Sabao_2,157.83
Sabao_2,157.90
Sabao_2,157.71
Sabao_2,156.91
Sabao_2,155.63
Sabao_2,154.87
Sabao_2,156.54
Sabao_2,156.98
Sabao_2,156.90
Sabao_2,156.98
Sabao_2,157.66
Sabao_2,157.54
Sabao_2,158.21
Sabao_2,157.63
Sabao_2,158.09
Sabao_2,156.56
Sabao_2,155.90
Sabao_2,155.57
Sabao_2,155.73
Sabao_2,156.07
Sabao_2,156.99
Sabao_2,156.37
Sabao_2,157.69
Sabao_2,158.69
Sabao_2,159.20
Sabao_2,158.28
Sabao_2,157.74
Sabao_2,156.95
Sabao_2,157.12
Sabao_2,155.36
Sabao_2,157.13
Sabao_2,157.49
Sabao_2,157.46
Sabao_2,158.37
Sabao_2,158.91
Sabao_2,159.11
Sabao_2,159.49
Sabao_2,158.19
Sabao_2,157.24
Sabao_2,157.74
Sabao_2,157.19
Sabao_2,156.17
Sabao_2,155.66
Sabao_2,155.98
Sabao_2,156.45
Sabao_2,156.32
Sabao_2,158.47
Sabao_2,158.90
Sabao_2,159.45
Sabao_2,160.17
Sabao_2,159.99
Sabao_2,159.09
Sabao_2,157.80
Sabao_2,155.99
Sabao_2,155.16
Sabao_2,154.95
Sabao_2,156.33
Sabao_2,157.62
Sabao_2,158.07
Sabao_2,158.30
Sabao_2,158.95
Sabao_2,160.13
Sabao_2,160.52
Sabao_2,159.52
Sabao_2,158.20
Sabao_2,156.36
Sabao_2,155.68
Sabao_2,155.69
Sabao_2,156.57
Sabao_2,156.71
Sabao_2,158.22
Sabao_2,159.34
Sabao_2,159.95
Sabao_2,160.11
Sabao_2,160.41
Sabao_2,159.51
Sabao_2,157.70
Sabao_2,155.81
Sabao_2,155.27
Sabao_2,156.42
Sabao_2,157.03
Sabao_2,157.55
Sabao_2,158.52
Sabao_2,158.98
Sabao_2,160.21
Sabao_2,161.07
Sabao_2,161.58
Sabao_2,160.57
Sabao_2,159.35
Sabao_2,158.04
Sabao_2,157.71
Sabao_2,157.69
Sabao_2,158.12
Sabao_2,158.12
Sabao_2,159.38
Sabao_2,159.68
Sabao_2,160.45
Sabao_2,161.10
Sabao_2,161.45
Sabao_2,160.86
Sabao_2,159.26
Sabao_2,156.90
Sabao_2,157.52
Sabao_2,158.27
Sabao_2,158.74
Sabao_2,157.96
Sabao_2,158.75
Sabao_2,159.57
Sabao_2,160.80
Sabao_2,161.01
Sabao_2,161.52
Sabao_2,161.77
Sabao_2,160.56
Sabao_2,159.39
Sabao_2,158.43
Sabao_2,157.83
Sabao_2,158.58
Sabao_2,159.30
Sabao_2,159.73
